DEPTH (nm),B,DEPTH (nm),Ge,DEPTH (nm),C,DEPTH (nm),As
,,248.594,0.012660135,,,391.0919041,2.65813E+19
,,249.324,0.011614228,,,395.6111883,2.7251E+19
,,250.054,0.011640287,,,400.1304726,2.80151E+19
,,250.784,0.015197176,,,404.6497568,2.94075E+19
,,251.514,0.019878868,,,409.169041,3.04984E+19
,,252.244,0.017785556,,,413.6883252,3.18057E+19
,,252.974,0.012094974,,,418.2076095,3.21095E+19
,,253.704,0.011828923,,,422.7268937,3.34583E+19
,,254.434,0.013192479,,,427.2461779,3.42363E+19
,,255.164,0.011232315,,,431.7654621,3.55069E+19
,,255.894,0.01336574,,,436.2847464,3.67154E+19
,,256.624,0.018254737,,,440.8040306,3.79539E+19
,,257.354,0.015783419,,,445.3233148,3.88701E+19
,,258.084,0.010320259,,,449.842599,3.93788E+19
,,258.814,0.009473708,,,454.3618833,4.07394E+19
,,259.544,0.009698372,,,458.8811675,4.15773E+19
,,260.274,0.0094228,,,463.4004517,4.24913E+19
,,261.004,0.009458456,,,467.9197359,4.39049E+19
,,261.734,0.009468238,,,472.4390202,4.44253E+19
,,262.464,0.009726462,,,476.9583044,4.57445E+19
,,263.194,0.011581812,,,481.4775886,4.71513E+19
,,263.924,0.013195871,,,485.9968728,4.70638E+19
,,264.654,0.011363067,,,490.5161571,4.8793E+19
,,265.384,0.00977179,,,495.0354413,4.99628E+19
,,266.114,0.008660573,,,499.5547255,5.01884E+19
,,266.844,,,,504.0740097,5.21596E+19
,,267.574,,,,508.593294,5.21112E+19
,,268.304,,,,513.1125782,5.34215E+19
,,269.034,,,,517.6318624,5.40755E+19
,,269.764,,,,522.1511466,5.4566E+19
,,270.494,,,,526.6704309,5.61804E+19
,,271.224,,,,531.1897151,5.71891E+19
,,271.954,,,,535.7089993,5.77442E+19
,,272.684,,,,540.2282835,5.87023E+19
,,273.414,,,,544.7475678,5.94669E+19
,,274.144,,,,549.266852,6.08166E+19
,,274.874,,,,553.7861362,6.06508E+19
,,275.604,,,,558.3054204,6.18209E+19
,,276.334,,,,562.8247047,6.31891E+19
,,277.064,,,,567.3439889,6.44099E+19
,,277.794,,,,571.8632731,6.43339E+19
,,278.524,,,,576.3825573,6.51954E+19
,,279.254,,,,580.9018416,6.6096E+19
,,279.984,,,,585.4211258,6.68585E+19
,,280.714,,,,589.94041,6.80887E+19
,,281.444,,,,594.4596942,6.89433E+19
,,282.174,,,,598.9789785,6.9434E+19
,,282.904,,,,603.4982627,7.11619E+19
,,283.634,,,,608.0175469,7.08486E+19
,,284.364,,,,612.5368311,7.23806E+19
,,285.094,,,,617.0561154,7.26686E+19
,,285.824,,,,621.5753996,7.32538E+19
,,286.554,,,,626.0946838,7.40303E+19
,,287.284,,,,630.613968,7.52168E+19
,,288.014,,,,635.1332523,7.54104E+19
,,288.744,,,,639.6525365,7.68228E+19
,,289.474,,,,644.1718207,7.75947E+19
,,290.204,,,,648.6911049,7.80256E+19
,,290.934,,,,653.2103892,7.81247E+19
,,291.664,,,,657.7296734,7.84887E+19
,,292.394,,,,662.2489576,7.96593E+19
,,293.124,,,,666.7682418,7.99543E+19
,,293.854,,,,671.2875261,8.07562E+19
,,294.584,,,,675.8068103,8.15074E+19
,,295.314,,,,680.3260945,8.16526E+19
